date,unit_name,electricity_kwh,steam_usage,fuel_usage,production_tons,total_energy,SEC
2023-05-14,VDU,83125.63170642908,40467.25838233672,31706.675638635337,2226.3948959755867,155299.56572740112,69.75382759281355
2024-09-23,NCU,74461.74707419315,49193.09085322359,36614.94025357824,1745.696047283287,160269.77818099497,91.80852441661443
2022-08-23,VDU,86488.22916340131,43082.10214427281,35285.83151878753,1832.380505616296,164856.16282646166,89.96830206454011
2021-03-17,DCU,87440.03617529252,37464.3361519146,23749.43747401876,1334.7054706897284,148653.80980122587,111.37574024058421
2024-11-18,NCU,80752.09719570867,40834.855238217984,36930.883800865835,1499.3566462084545,158517.83623479248,105.72390273898439
2023-09-01,NCU,94352.40207776501,29030.358862356716,20526.670268823396,2499.5676759262733,143909.43120894514,57.573728687148325
2022-07-30,VDU,113521.61988918636,51509.89247282143,25471.126206959707,1825.7719500968701,190502.63856896752,104.34087266970008
2023-07-26,VDU,99995.29625661962,42977.12387732628,34933.09447239951,1603.770538455722,177905.51460634542,110.92953158850982
2021-11-13,Hydrocracker,103129.63794340359,30356.31282198298,42141.15499793096,1798.1659835407524,175627.10576331752,97.67013021650637
2023-01-03,Hydrocracker,99811.10968729429,33128.76345290866,35215.32422987265,1289.618603221398,168155.1973700756,130.39141723764914
2024-02-09,DCU,97296.0711667015,38695.00425275389,36047.9704510388,1246.3619365811226,172039.04587049418,138.0329748695728
2023-10-27,NCU,83724.08571401471,46523.23992209141,33756.568738645285,2118.399745169471,164003.8943747514,77.41876609866716
2023-06-28,NCU,91920.3604875665,52706.323495937,21753.906962411253,1505.036217034326,166380.59094591474,110.54922736262634
2022-04-23,VDU,98256.9919076198,43850.90300303808,28512.70380502477,2028.241710912753,170620.59871568266,84.12241884075033
2021-02-10,CDU,61612.80319866533,39734.72279019534,30474.0837668792,2149.0038007649628,131821.60975573986,61.3407987965477
2021-02-19,CDU,82919.83411864022,41094.67527998336,25150.1133263668,1828.1718910968182,149164.6227249904,81.5922307149677
2022-09-16,CDU,98865.50975277662,32323.81510768365,31010.37376172397,1593.2915626426025,162199.69862218425,101.80164285384339
